Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.16     0.00    17973     0.00     0.00  Polynomial::operator*(Polynomial const&) const
  0.00      0.16     0.00    17057     0.00     0.00  Monomial::cutoff(Interval const&)
  0.00      0.16     0.00    16173     0.00     0.00  std::vector<HornerForm, std::allocator<HornerForm> >::_M_insert_aux(__gnu_cxx::__normal_iterator<HornerForm*, std::vector<HornerForm, std::allocator<HornerForm> > >, HornerForm const&)
  0.00      0.16     0.00    16134     0.00     0.00  std::vector<std::list<Monomial, std::allocator<Monomial> >, std::allocator<std::list<Monomial, std::allocator<Monomial> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::list<Monomial, std::allocator<Monomial> >*, std::vector<std::list<Monomial, std::allocator<Monomial> >, std::allocator<std::list<Monomial, std::allocator<Monomial> > > > >, std::list<Monomial, std::allocator<Monomial> > const&)
  0.00      0.16     0.00    13164     0.00     0.00  Polynomial::ctrunc_normal(Interval&, std::vector<Interval, std::allocator<Interval> > const&, int)
  0.00      0.16     0.00    10800     0.00     0.00  Polynomial::nctrunc(int)
  0.00      0.16     0.00    10714     0.00     0.00  Interval::serialize(_IO_FILE*) const
  0.00      0.16     0.00    10388     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&, std::random_access_iterator_tag)
  0.00      0.16     0.00    10339     0.00     0.00  operator==(Monomial const&, Monomial const&)
  0.00      0.16     0.00    10173     0.00     0.00  Polynomial::cutoff_normal(Interval&, std::vector<Interval, std::allocator<Interval> > const&, Interval const&)
  0.00      0.16     0.00     9564     0.00     0.00  TaylorModel::ctrunc_normal(std::vector<Interval, std::allocator<Interval> > const&, int)
  0.00      0.16     0.00     9513     0.00     0.00  Monomial::serialize(_IO_FILE*, std::vector<std::string, std::allocator<std::string> > const&) const
  0.00      0.16     0.00     8400     0.00     0.00  Polynomial::cutoff(Interval const&)
  0.00      0.16     0.00     8100     0.00     0.00  TaylorModel::mul_no_remainder_assign(TaylorModel const&, int, Interval const&)
  0.00      0.16     0.00     8100     0.00     0.00  TaylorModel::mul_no_remainder(TaylorModel&, TaylorModel const&, int, Interval const&) const
  0.00      0.16     0.00     8089     0.00     0.00  Monomial::Monomial(Interval const&, int)
  0.00      0.16     0.00     7775     0.00     0.00  Polynomial::Polynomial(Interval const&, int)
  0.00      0.16     0.00     7775     0.00     0.00  TaylorModel::TaylorModel(Interval const&, int)
  0.00      0.16     0.00     7539     0.00     0.00  std::vector<TaylorModel, std::allocator<TaylorModel> >::_M_insert_aux(__gnu_cxx::__normal_iterator<TaylorModel*, std::vector<TaylorModel, std::allocator<TaylorModel> > >, TaylorModel const&)
  0.00      0.16     0.00     7473     0.00     0.00  TaylorModel::cutoff_normal(std::vector<Interval, std::allocator<Interval> > const&, Interval const&)
  0.00      0.16     0.00     7173     0.00     0.01  TaylorModel::mul_insert_ctrunc_normal_assign(TaylorModel const&, Interval const&, std::vector<Interval, std::allocator<Interval> > const&, int, Interval const&)
  0.00      0.16     0.00     7173     0.00     0.01  TaylorModel::mul_insert_ctrunc_normal(TaylorModel&, TaylorModel const&, Interval const&, std::vector<Interval, std::allocator<Interval> > const&, int, Interval const&) const
  0.00      0.16     0.00     4805     0.00     0.00  Monomial::Monomial(Interval const&, std::vector<int, std::allocator<int> > const&)
  0.00      0.16     0.00     4796     0.00     0.00  Monomial::transform(std::vector<int, std::allocator<int> >)
  0.00      0.16     0.00     4494     0.00     0.00  TaylorModelVec::~TaylorModelVec()
  0.00      0.16     0.00     4187     0.00     0.00  Interval::inv_assign()
  0.00      0.16     0.00     4187     0.00     0.00  Interval::inv(Interval&) const
  0.00      0.16     0.00     4151     0.00     0.00  Polynomial::add_assign(Monomial const&)
  0.00      0.16     0.00     3382     0.00     0.00  MyComponent::isSolveVar(int)
  0.00      0.16     0.00     3299     0.00     0.00  Interval::div_assign(double)
  0.00      0.16     0.00     2700     0.00     0.01  TaylorModel::mul_insert_ctrunc_normal_assign(Interval&, Interval&, TaylorModel const&, Interval const&, std::vector<Interval, std::allocator<Interval> > const&, int, Interval const&)
  0.00      0.16     0.00     2700     0.00     0.00  TaylorModel::nctrunc(int)
  0.00      0.16     0.00     2700     0.00     0.01  TaylorModel::mul_insert_ctrunc_normal(TaylorModel&, Interval&, Interval&, TaylorModel const&, Interval const&, std::vector<Interval, std::allocator<Interval> > const&, int, Interval const&) const
  0.00      0.16     0.00     2472     0.00     0.00  std::vector<Interval, std::allocator<Interval> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Interval*, std::vector<Interval, std::allocator<Interval> > >, Interval const&)
  0.00      0.16     0.00     2272     0.00     0.00  TaylorModelVec::TaylorModelVec(TaylorModelVec const&)
  0.00      0.16     0.00     2109     0.00     0.00  Matrix::set(double, int, int)
  0.00      0.16     0.00     2075     0.00     0.00  Monomial::operator+=(Monomial const&)
  0.00      0.16     0.00     1800     0.00     0.00  Matrix::get(int, int) const
  0.00      0.16     0.00     1506     0.00     0.00  Polynomial::operator+(Polynomial const&) const
  0.00      0.16     0.00     1506     0.00     0.00  TaylorModel::add(TaylorModel&, TaylorModel const&) const
  0.00      0.16     0.00     1503     0.00     0.00  Matrix::cols() const
  0.00      0.16     0.00     1236     0.00     0.00  RowVector::get(int) const
  0.00      0.16     0.00     1200     0.00     0.00  Polynomial::serialize(_IO_FILE*, std::vector<std::string, std::allocator<std::string> > const&) const
  0.00      0.16     0.00     1200     0.00     0.00  TaylorModel::serialize(_IO_FILE*, std::vector<std::string, std::allocator<std::string> > const&) const
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<TaylorModel, std::allocator<TaylorModel> >::operator=(std::vector<TaylorModel, std::allocator<TaylorModel> > const&)
  0.00      0.16     0.00      978     0.00     0.00  HornerForm::insert_only_remainder(Interval&, RangeTree*, TaylorModelVec const&, Interval const&) const
  0.00      0.16     0.00      934     0.00     0.00  TaylorModelVec::TaylorModelVec()
  0.00      0.16     0.00      903     0.00     0.00  Polynomial::mul_assign(Interval const&)
  0.00      0.16     0.00      900     0.00     0.04  HornerForm::insert_no_remainder(TaylorModel&, TaylorModelVec const&, int, int, Interval const&) const
  0.00      0.16     0.00      900     0.00     0.00  Polynomial::mul(Polynomial&, Interval const&) const
  0.00      0.16     0.00      900     0.00     0.00  TaylorModel::integral_no_remainder(TaylorModel&) const
  0.00      0.16     0.00      900     0.00     0.00  TaylorModel::mul(TaylorModel&, Interval const&) const
  0.00      0.16     0.00      806     0.00     0.00  toStringHelper(__mpfr_struct const*, int, char)
  0.00      0.16     0.00      703     0.00     0.00  Matrix::~Matrix()
  0.00      0.16     0.00      703     0.00     0.00  Matrix::rows() const
  0.00      0.16     0.00      636     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&, std::forward_iterator_tag)
  0.00      0.16     0.00      625     0.00     0.00  TaylorModelVec::operator=(TaylorModelVec const&)
  0.00      0.16     0.00      618     0.00     0.00  TaylorModel::TaylorModel(Polynomial const&, Interval const&)
  0.00      0.16     0.00      615     0.00     0.00  HornerForm::HornerForm()
  0.00      0.16     0.00      606     0.00     0.00  TaylorModel::transform(std::vector<int, std::allocator<int> >)
  0.00      0.16     0.00      606     0.00     0.00  Interval::width() const
  0.00      0.16     0.00      603     0.00     0.10  HornerForm::insert_ctrunc_normal(TaylorModel&, TaylorModelVec const&, std::vector<Interval, std::allocator<Interval> > const&, std::vector<Interval, std::allocator<Interval> > const&, int, int, Interval const&) const
  0.00      0.16     0.00      603     0.00     0.12  TaylorModel::insert_ctrunc_normal(TaylorModel&, TaylorModelVec const&, std::vector<Interval, std::allocator<Interval> > const&, std::vector<Interval, std::allocator<Interval> > const&, int, int, Interval const&) const
  0.00      0.16     0.00      526     0.00     0.00  Interval::widthRatio(Interval const&) const
  0.00      0.16     0.00      503     0.00     0.00  Matrix::Matrix(int, int)
  0.00      0.16     0.00      501     0.00     0.00  Polynomial::getVariableCount() const
  0.00      0.16     0.00      501     0.00     0.00  Monomial::getVariableCount() const
  0.00      0.16     0.00      409     0.00     0.00  Interval::sup() const
  0.00      0.16     0.00      401     0.00     0.00  TaylorModelVec::getIgnoringParamCount() const
  0.00      0.16     0.00      400     0.00     0.00  TMVSerializer::add(TaylorModelVec const&, std::string)
  0.00      0.16     0.00      400     0.00     0.00  TaylorModelVec::serialize(_IO_FILE*, std::vector<std::string, std::allocator<std::string> > const&) const
  0.00      0.16     0.00      326     0.00     0.00  TaylorModelVec::Picard_only_remainder(std::vector<Interval, std::allocator<Interval> >&, std::vector<RangeTree*, std::allocator<RangeTree*> >&, MyComponent*, Interval const&) const
  0.00      0.16     0.00      309     0.00     0.00  Polynomial::Polynomial(RowVector const&)
  0.00      0.16     0.00      309     0.00     0.00  TaylorModel::TaylorModel(RowVector const&)
  0.00      0.16     0.00      309     0.00     0.00  Matrix::row(RowVector&, int) const
  0.00      0.16     0.00      309     0.00     0.00  RowVector::size() const
  0.00      0.16     0.00      303     0.00     0.00  Polynomial::rmConstant()
  0.00      0.16     0.00      303     0.00     0.00  Matrix::operator=(Matrix const&)
  0.00      0.16     0.00      303     0.00     0.00  HornerForm::intEval(Interval&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      303     0.00     0.02  Polynomial::intEval(Interval&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      303     0.00     0.00  Polynomial::constant(Interval&) const
  0.00      0.16     0.00      303     0.00     0.02  TaylorModel::intEval(Interval&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      303     0.00     0.00  Interval::getLower() const
  0.00      0.16     0.00      303     0.00     0.00  Interval::getHigher() const
  0.00      0.16     0.00      301     0.00     0.00  TaylorModelVec::polyRangeNormal(std::vector<Interval, std::allocator<Interval> >&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      300     0.00     0.00  Polynomial::operator-=(Polynomial const&)
  0.00      0.16     0.00      300     0.00     0.00  TaylorModel::centerRemainder(int)
  0.00      0.16     0.00      300     0.00     0.12  TaylorModelVec::Picard_no_remainder_assign(MyComponent*, int, int, Interval const&)
  0.00      0.16     0.00      300     0.00     0.00  Interval::remove_midpoint(Interval&)
  0.00      0.16     0.00      300     0.00     0.07  HornerForm::insert_ctrunc_normal(TaylorModel&, RangeTree*&, TaylorModelVec const&, std::vector<Interval, std::allocator<Interval> > const&, std::vector<Interval, std::allocator<Interval> > const&, int, int, Interval const&) const
  0.00      0.16     0.00      300     0.00     0.00  Polynomial::operator-(Polynomial const&) const
  0.00      0.16     0.00      300     0.00     0.00  TaylorModel::evaluate_t(TaylorModel&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      300     0.00     0.00  TaylorModel::integral(TaylorModel&, Interval const&) const
  0.00      0.16     0.00      300     0.00     0.12  TaylorModelVec::Picard_no_remainder(TaylorModelVec&, MyComponent*, int, int, Interval const&) const
  0.00      0.16     0.00      300     0.00     0.00  TaylorModelVec::integral_no_remainder(TaylorModelVec&) const
  0.00      0.16     0.00      300     0.00     0.00  Interval::mag(Interval&) const
  0.00      0.16     0.00      300     0.00     0.00  std::vector<RangeTree*, std::allocator<RangeTree*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<RangeTree**, std::vector<RangeTree*, std::allocator<RangeTree*> > >, RangeTree* const&)
  0.00      0.16     0.00      297     0.00     0.00  std::_Rb_tree<int, std::pair<int const, CompDependency*>, std::_Select1st<std::pair<int const, CompDependency*> >, std::less<int>, std::allocator<std::pair<int const, CompDependency*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, CompDependency*> >, int const&)
  0.00      0.16     0.00      201     0.00     0.37  TaylorModelVec::insert_ctrunc_normal(TaylorModelVec&, TaylorModelVec const&, std::vector<Interval, std::allocator<Interval> > const&, std::vector<Interval, std::allocator<Interval> > const&, int, int, Interval const&) const
  0.00      0.16     0.00      200     0.00     0.00  getEmptyTMV(int)
  0.00      0.16     0.00      200     0.00     0.00  Matrix::operator*(Matrix const&) const
  0.00      0.16     0.00      146     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00      0.16     0.00      103     0.00     0.00  TaylorModelVec::TaylorModelVec(Matrix const&)
  0.00      0.16     0.00      103     0.00     0.00  RowVector::RowVector(int)
  0.00      0.16     0.00      103     0.00     0.00  RowVector::~RowVector()
  0.00      0.16     0.00      102     0.00     0.00  TaylorModelVec::add(TaylorModelVec&, TaylorModelVec const&) const
  0.00      0.16     0.00      101     0.00     0.00  MyComponent::remapTimeStepPipe()
  0.00      0.16     0.00      101     0.00     0.37  PrecondModel::composed(MySettings*)
  0.00      0.16     0.00      101     0.00     0.00  PrecondModel::PrecondModel(TaylorModelVec, TaylorModelVec)
  0.00      0.16     0.00      101     0.00     0.00  TaylorModelVec::add_assign(TaylorModelVec const&)
  0.00      0.16     0.00      101     0.00     0.00  TaylorModelVec::rmConstant()
  0.00      0.16     0.00      101     0.00     0.00  TaylorModelVec::TaylorModelVec(std::vector<Interval, std::allocator<Interval> > const&, int)
  0.00      0.16     0.00      101     0.00     0.00  TaylorModelVec::constant(std::vector<Interval, std::allocator<Interval> >&) const
  0.00      0.16     0.00      100     0.00     0.00  makeCompInitSets(MyComponent&, MyComponent*)
  0.00      0.16     0.00      100     0.00     0.00  yylex()
  0.00      0.16     0.00      100     0.00     0.00  MyComponent::getIntergrationParamCount()
  0.00      0.16     0.00      100     0.00     0.01  TaylorModelVec::cutoff_normal(std::vector<Interval, std::allocator<Interval> > const&, Interval const&)
  0.00      0.16     0.00      100     0.00     0.01  TaylorModelVec::linearTrans_assign(Matrix const&)
  0.00      0.16     0.00      100     0.00     0.00  TaylorModelVec::preconditionCenterRemainder()
  0.00      0.16     0.00      100     0.00     0.00  TaylorModelVec::cutoff(Interval const&)
  0.00      0.16     0.00      100     0.00     0.00  IdentityTransformer::getMatrices(Matrix&, Matrix&, TaylorModelVec const&)
  0.00      0.16     0.00      100     0.00     0.00  IdentityTransformer::getLeftToRight(TaylorModelVec&, Matrix&)
  0.00      0.16     0.00      100     0.00     0.00  IdentityTransformer::transform(MyComponent&, std::vector<MyComponent*, std::allocator<MyComponent*> >&, MySettings&)
  0.00      0.16     0.00      100     0.00     0.00  PreconditionedTransformer::getScaling(Matrix&, Matrix&, std::vector<Interval, std::allocator<Interval> >&)
  0.00      0.16     0.00      100     0.00     0.40  PreconditionedTransformer::precondition(TaylorModelVec&, TaylorModelVec&, MySettings&, MyComponent&)
  0.00      0.16     0.00      100     0.00     0.43  PreconditionedTransformer::transformFullSystem(MyComponent&, std::vector<MyComponent*, std::allocator<MyComponent*> >&, MySettings&)
  0.00      0.16     0.00      100     0.00     0.62  smallComp::advanceFlow(MyComponent&, MySettings&)
  0.00      0.16     0.00      100     0.00     0.01  smallComp::refineRemainderFlow(TaylorModelVec&, std::vector<Interval, std::allocator<Interval> >&, std::vector<RangeTree*, std::allocator<RangeTree*> >&, MyComponent&, MySettings&, std::vector<Interval, std::allocator<Interval> >&)
  0.00      0.16     0.00      100     0.00     0.62  smallComp::singleStepIntegrate(MyComponent&, MySettings&)
  0.00      0.16     0.00      100     0.00     0.62  smallComp::singleStepPrepareIntegrate(MyComponent&, MySettings&)
  0.00      0.16     0.00      100     0.00     0.23  smallComp::findDecreasingRemainderFlow(TaylorModelVec&, std::vector<Interval, std::allocator<Interval> >&, std::vector<RangeTree*, std::allocator<RangeTree*> >&, MyComponent&, MySettings&, std::vector<Interval, std::allocator<Interval> >&)
  0.00      0.16     0.00      100     0.00     0.00  TaylorModel::getParamCount() const
  0.00      0.16     0.00      100     0.00     0.01  TaylorModelVec::evaluate_t(TaylorModelVec&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      100     0.00     0.01  TaylorModelVec::linearTrans(TaylorModelVec&, Matrix const&) const
  0.00      0.16     0.00      100     0.00     0.00  TaylorModelVec::intEvalNormal(std::vector<Interval, std::allocator<Interval> >&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00      100     0.00     0.22  TaylorModelVec::Picard_ctrunc_normal(TaylorModelVec&, std::vector<RangeTree*, std::allocator<RangeTree*> >&, MyComponent*, std::vector<Interval, std::allocator<Interval> > const&, std::vector<Interval, std::allocator<Interval> > const&, int, int, Interval const&) const
  0.00      0.16     0.00      100     0.00     0.00  Interval::getLower(int) const
  0.00      0.16     0.00      100     0.00     0.00  Interval::getHigher(int) const
  0.00      0.16     0.00       99     0.00     0.01  MyComponent::orderedTSPRemap(bool)
  0.00      0.16     0.00       99     0.00     0.00  TaylorModelVec::TaylorModelVec(int)
  0.00      0.16     0.00       99     0.00     0.00  std::_Rb_tree<int, std::pair<int const, CompDependency*>, std::_Select1st<std::pair<int const, CompDependency*> >, std::less<int>, std::allocator<std::pair<int const, CompDependency*> > >::_M_get_insert_unique_pos(int const&)
  0.00      0.16     0.00       99     0.00     0.00  std::_Rb_tree<int, std::pair<int const, CompDependency*>, std::_Select1st<std::pair<int const, CompDependency*> >, std::less<int>, std::allocator<std::pair<int const, CompDependency*> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, CompDependency*> >*)
  0.00      0.16     0.00       45     0.00     0.00  std::vector<HornerForm, std::allocator<HornerForm> >::operator=(std::vector<HornerForm, std::allocator<HornerForm> > const&)
  0.00      0.16     0.00       39     0.00     0.00  HornerForm::operator=(HornerForm const&)
  0.00      0.16     0.00       32     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, double>, std::_Select1st<std::pair<std::string const, double> >, std::less<std::string>, std::allocator<std::pair<std::string const, double> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, double> >, std::pair<std::string const, double> const&)
  0.00      0.16     0.00       32     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, double>, std::_Select1st<std::pair<std::string const, double> >, std::less<std::string>, std::allocator<std::pair<std::string const, double> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::string const, double> >, std::string const&)
  0.00      0.16     0.00       29     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&) const
  0.00      0.16     0.00       24     0.00     0.00  yyinput()
  0.00      0.16     0.00       22     0.00     0.00  addTimeToInfo(std::string, std::string, std::vector<std::string, std::allocator<std::string> >&)
  0.00      0.16     0.00       20     0.00     0.00  ContinuousReachability::getIDForStateVar(std::string const&) const
  0.00      0.16     0.00       18     0.00     0.02  std::vector<TaylorModelVec, std::allocator<TaylorModelVec> >::_M_insert_aux(__gnu_cxx::__normal_iterator<TaylorModelVec*, std::vector<TaylorModelVec, std::allocator<TaylorModelVec> > >, TaylorModelVec const&)
  0.00      0.16     0.00       14     0.00     0.00  Interval::mul_assign(double)
  0.00      0.16     0.00       13     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, int> >, std::pair<std::string const, int> const&)
  0.00      0.16     0.00       13     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::string const, int> >, std::string const&)
  0.00      0.16     0.00       13     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&)
  0.00      0.16     0.00       13     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, int> >*)
  0.00      0.16     0.00       10     0.00     0.00  std::vector<std::string, std::allocator<std::string> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<std::string, std::allocator<std::string> >*, std::vector<std::string, std::allocator<std::string> >*>(std::vector<std::string, std::allocator<std::string> >*, std::vector<std::string, std::allocator<std::string> >*, std::vector<std::string, std::allocator<std::string> >*)
  0.00      0.16     0.00       10     0.00     0.00  std::vector<Interval, std::allocator<Interval> >::operator=(std::vector<Interval, std::allocator<Interval> > const&)
  0.00      0.16     0.00        9     0.00     0.00  HornerForm::HornerForm(Interval const&, std::vector<HornerForm, std::allocator<HornerForm> > const&)
  0.00      0.16     0.00        9     0.00     0.00  Polynomial::Polynomial(Monomial const&)
  0.00      0.16     0.00        9     0.00     0.00  Polynomial::Polynomial(std::vector<Interval, std::allocator<Interval> > const&)
  0.00      0.16     0.00        9     0.00     0.00  MyComponentRemove::isIn(int, std::vector<int, std::allocator<int> >*)
  0.00      0.16     0.00        9     0.00     0.00  ContinuousReachability::getIDForPar(std::string const&) const
  0.00      0.16     0.00        9     0.00     0.00  std::vector<HornerForm, std::allocator<HornerForm> >::~vector()
  0.00      0.16     0.00        8     0.00     0.00  TaylorModelVec::clear()
  0.00      0.16     0.00        8     0.00     0.00  std::vector<PrecondModel*, std::allocator<PrecondModel*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<PrecondModel**, std::vector<PrecondModel*, std::allocator<PrecondModel*> > >, PrecondModel* const&)
  0.00      0.16     0.00        7     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.16     0.00        7     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long)
  0.00      0.16     0.00        6     0.00     0.00  ContinuousReachability::declareStateVar(std::string const&)
  0.00      0.16     0.00        6     0.00     0.00  std::vector<Interval, std::allocator<Interval> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<Interval, std::allocator<Interval> >*, std::vector<Interval, std::allocator<Interval> >*>(std::vector<Interval, std::allocator<Interval> >*, std::vector<Interval, std::allocator<Interval> >*, std::vector<Interval, std::allocator<Interval> >*)
